,answer,passage,question,tf
96,不正アクセス禁止法違反、コンピュータ・電磁的記録対象犯罪等、ネットワーク利用犯罪,"平成30年の警察白書によれば,サイバー犯罪は次の3つの類型に区別されている。1.不正アクセス禁止法違反2.コンピュータ・電磁的記録対象犯罪等3.ネットワーク利用犯罪",サイバー犯罪の類型3つを回答してください。,1
750,正しくない,"コンピュータでは,文字の一つ一つに文字コードと呼ばれる固有の番号を割り当てることで,文字を2進法のデータとして取り扱っている。英語などで使用されるアルファベットや数字などの文字は種類が少ないので7bitで表現することができるが,日本語などで使用される漢字などの文字は種類が多いので16bitで表現する。","次の文章は正しいか答えなさい。英語などで使用されるアルファベットや数字などの文字は種類が少ないので7bitで表現できますが,日本語のような文字は種類が多いので16bitで表現できます。",0
2,通信プロトコル,インターネットの通信において、通信する際の規定を定めたものを通信プロトコルという。このプロトコルがあることで相互に通信を行うことが可能になっている。,インターネットの通信において通信する際の規定を定めたものは何ですか,1
350,正しい,"平成30年の警察白書によれば,サイバー犯罪は次の3つの類型に区別されている。1.不正アクセス禁止法違反2.コンピュータ・電磁的記録対象犯罪等3.ネットワーク利用犯罪",次の文章は正しいか答えなさい。サイバー犯罪は次の3つの類型に分類される。,0
176,正しくない,ある一定の範囲内において、すべての数が同じ確率で現れるような数のことを乱数という。コンピュータはその性質上計算で値を生成するので計算による疑似的な乱数しか生成できない。これを疑似乱数(以後「乱数」と表現する)という。,以下の文章は正しいですか?ある一定の範囲内においてすべての数が異なる確率で現れるような数のことを乱数という。,1
1047,シグニファイアとは利用者に適切な行動を誘導する役割を持たせたデザインのことである。,利用者に適切な行動を誘導する役割を持たせたデザインをシグニファイアという。適切なシグニファイアがデザインされたユーザインターフェースは、利用者が得られる体験(ユーザエクスペリエンス)の向上をもたらすため、情報デザインの重要性は一層増してきている。,適切なシグニファイアがデザインされたユーザインタフェースは利用者が得られる体験(ユーザエクスペリエンスの向上をもたらすため、情報デザインの重要性は一層増してきている。,0
712,量子化,"アナログ情報をデジタル化するときには,連続的に変化する量を一定の時間間隔で区切る標本化,それぞれの値にあらかじめ定めた段階値を割り当てる量子化,量子化した数値を2進法で表現する符号化の手順が行われる。","アナログ情報をデジタル情報に変換する際,それぞれの値にあらかじめ定めた段階値を割り当てる符号化の手順が行われる。",0
242,アイデアの近さやまとまりを可視化するkj法や、一定のルールに基づいて構造的にアイデアを表すものがロジックツリーやコンセプトマップがある,"アイデアを整理し,可視化する有効な手法として,アイデアをそれぞれのカードに記し,二次元に配置しながらグループ化したり表題をつけたり関連づけたりするなどして有意な解釈や新たなアイデアなどを生み出す方法や,アイデアや項目などを一定のルールのもとに線でつなぎながら関連を分かりやすく示す方法などがある.前者の代表的な例として「kj法」が,後者の代表的な例として「ロジックツリー」「コンセプトマップ」などが挙げられる.","アイデアを整理し,可視化する有効な方法にはどのようなものがありますか?",1
441,特許庁,"特許権,実用新案権,意匠権,商標権を総称して産業財産権といい,新しい技術やデザインなどに対して独占的に使用できる権利が与えられ,模倣されないように保護される。これらは,特許庁に出願し,登録することで権利が発生する。なお,権利の性質上,商標権は更新が可能となっている。","特許権はどこに出願し,登録することで権利が発生するのだろうか",1
1005,学習指導要領では情報デザインについて「効果的なコミュニケーションや問題解決のために、情報を整理したり、目的や意図を持った情報を受け手に対してわかりやすく伝達したり、操作性を高めたりするためのデザインの基礎知識や表現方法及びその技術のことである。」と述べてられている。,学習指導要領解説では、情報デザインについて「効果的なコミュニケーションや問題解決のために、情報を整理したり、目的や意図を持った情報を受け手に対してわかりやすく伝達したり、操作性を高めたりするためのデザインの基礎知識や表現方法及びその技術のことである。」と述べている。,学習指導要領解説では、情報デザインについてどのように述べてられているか,1
160,分岐とは、ある条件に応じて異なる処理を実行することである。,どのようなアルゴリズムでも、処理の流れは、順次、分岐、反復の3つの構造の組み合わせで構成されている。このような処理の流れを制御構造という。順次とは1つ1つの処理を順番に行うことであり、分岐はある条件に応じて異なる処理を実行することである。また、反復はある条件が満たされている間はその処理を繰り返し実行することである。,分岐とは何か,1
663,正しくない,クレジットカードでは使用者は利用後に支払いを行う。,次の文章は正しいか答えなさい。クレジットカードでは使用者は利用後に支払いを行う。,0
504,正しくない,知的財産権は、申請が必要な産業に関する産業財産権と、申請の必要がない文化や芸術に関する著作権に大きく分けられる。,次の文章は正しいか答えなさい。知的財産権は、申請が必要な産業に関する産業財産権と、申請の必要がない文化や芸術に関する著作権に大きく分けられる。,0
644,バリアフリーは障がい者や高齢者、妊婦にとって障壁となるものを取り除くという考えで、ユニバーサルデザインは障がい者、高齢者問わず、全ての人が生活しやすい環境を実現する考えである,"障がい者,高齢者,妊婦などにとって障壁(バリア)となっているものを取り除こうという考えからスタートしたのがバリアフリーである.一方で,ユニバーサルデザインはまた別の概念であり,障がいの有無,年齢,性別,人種等にかかわらず,すべての人にとって生活しやすい環境を実現するための工夫をさす.","ユニバーサルデザインとはどういう意味ですか?バリアフリーは障がい者、高齢者問わず,すべての人が生活しやすい環境を実現するための工夫をさす.",0
1004,学習指導要領では情報デザインについて「効果的なコミュニケーションや問題解決のために、情報を整理したり、目的や意図を持った情報を受け手に対してわかりやすく伝達したり、操作性を高めたりするためのデザインの基礎知識や表現方法及びその技術のことである。」と述べてられている。,学習指導要領解説では、情報デザインについて「効果的なコミュニケーションや問題解決のために、情報を整理したり、目的や意図を持った情報を受け手に対してわかりやすく伝達したり、操作性を高めたりするためのデザインの基礎知識や表現方法及びその技術のことである。」と述べている。,学習指導要領解説では、情報デザインについてどのように述べられているか?,1
851,対人コミュニケーションとは特定相手を限定した個人対個人のコミュニケーションのことである。,対人コミュニケーションは特定相手を限定した個人対個人のコミュニケーションのことを指し、集団コミュニケーションは限定された小集団レベルのコミュニケーションのことを指す。また、マスコミュニケーションは不特定多数に対して行われるコミュニケーションのことをいう。,マスコミュニケーションとは特定相手を限定した個人対個人のコミュニケーションのことを指しますか,0
807,対人コミュニケーション、集団コミュニケーション、マスコミュニケーション,コミュニケーションを、個人同士で情報をやり取りする「対人コミュニケーション」、限られた集団で情報をやり取りする「集団コミュニケーション」、不特定多数で情報をやり取りする「マスコミュニケーション」の3つのモデルに分ける考え方がある。,コミュニケーションを、個人同士で情報をやり取りする3つのモデルに分ける考え方はありますか,0
715,量子化,"アナログ情報をデジタル化するときには,連続的に変化する量を一定の時間間隔で区切る標本化,それぞれの値にあらかじめ定めた段階値を割り当てる量子化,量子化した数値を2進法で表現する符号化の手順が行われる。","アナログ情報をデジタル情報に変換する際には,それぞれの値にあらかじめ定めた段階値を割り当てる符号化の手順が行われる。",0
949,正しくない,ラスタ系画像処理ソフトでは、画像を小さな点(ピクセル)で描画する。そのため、拡大や変形すると画像が粗くなる場合がある。また、ベクタ系とは異なり画像内にある一部の円や長方形だけを移動したり、削除することはできない。,次の文章は正しいか答えなさい。ラスタ系画像処理ソフトでは、画像内の一部の円や長方形だけを移動したり、削除することができない。,0
140,コンピュータに計算させるときには、必要な精度に見合った箱を用意するとともに、計算の途中でこの箱からはみ出さないように注意する必要がある。,コンピュータで変数は指定されたビット数の箱に入っていると考える。この箱(定められたビット数)に収まるものであれば誤差は生じないが、収まらないものは誤差が生じる。例えば、15ビットの箱を準備したとき、13ビットの魚aは箱に収まるが、20ビットの魚bは箱に入らない。このとき失われた5ビットが計算誤差の原因となる。コンピュータに計算させる時には、必要な精度に見合った箱を用意するとともに、計算の途中でこの箱からはみ出さないように注意する必要がある。,コンピュータに計算させる時にはどのようなことに注意する必要がありますか,1
893,マスメディア,15世紀にはグーテンベルクによって活版印刷術が発明されたことにより、情報の複製が大量にできるようになったことで、同じ情報を同時に複数人に伝えることが容易になった。その後、産業革命をきっかけに、不特定多数への情報伝達の需要が高まり、マスメディアが誕生した。,産業革命をきっかけに、不特定多数への情報伝達の需要が高まったのは何か?,0
627,完全セルフレジは複数のレジを1人のスタッフで対応できるメリットがあるが、利用者にとっては慣れないと操作が難しく、購入を諦めてしまうデメリットがある,"完全セルフレジの場合には複数のレジを一人のスタッフで対応できるメリットがある反面,利用者にとっては慣れないと難しく購入をあきらめてしまう可能性もある.",完全セルフレジのデメリットは何ですか?,0
658,正しくない,プリペイドカードでは磁気データを書き換えることで利用確認を行っている。一方で、icカード方式電子マネーでは内臓icと電波でやり取りを行うことで利用確認を行っている。,次の文章は正しいか答えなさい。プリペイドカード方式では磁気データを書き換えることで利用確認を行っている。,0
120,正しい,授業での利用(著作権法第35条)では教育を担当する者、授業を受ける者は、授業の過程で利用するために、必要と認められる限度に置いて著作物を複製できる。ただし、著作権者の利益を不当に害することは違法になる。,次の文章は正しいか答えなさい。授業での利用(著作権法第35条)では教育を担当する者、授業を受ける者は、授業の過程で利用するために、必要と認められる限度に置いて著作物を複製できる。ただし、著作権者の利益を不当に害することは違法になる。,1
260,正しくない,"事象や現象を数字や文字などで記号化したものがデータであり,意味や価値が付加されたデータやメッセージを情報という.","次の文章は正しいか答えなさい.「事象や現象を数字や文字などで記号化したものが情報であり,意味や価値が付加されたデータやメッセージを情報という.",0
387,情報機器が普及したことで映像や音楽、イラストや写真など多くの著作物を手軽に利用かつ複製できるようになったため、著作権についてよく理解した上で活用するようにしなければならない,"情報機器等が普及し,デジタル化が進んだことにより,映像,音楽,イラストや写真,文章など多くの著作物を手軽に利用でき,また複製できるようになった.手軽に利用できるようになったからこそ,知らぬ間に著作権を侵害してしまうことのないように,著作権についてよく理解した上で,著作物を守り活用していく姿勢が求められる.","情報機器等が普及し,デジタル化が進んだ結果,知らぬ間に著作権を侵害してしまうことのないように配慮する必要がある.",0
528,情報格差や健康への影響、いじめや犯罪に巻き込まれるといった問題がある,"スマートフォンなど個人が所有する情報機器の普及はsnsの普及につながり,コミュニケーションの利便性の向上につながっていると考えられる反面,年齢や所得など,個人の技術や社会環境の差により格差(デジタルディバイド)が生じ,新しい情報を手に入れる機械や量が異なることがある.","情報格差や健康への影響の他に,個人が所有する情報機器の普及はsnsの普及につながり,コミュニケーションの利便性の向上につながると考えられる反面,年齢や所得など,個人の技術や社会環境の差によって格差が生じることがある",0
562,正しい,情報技術の発展が社会へのコミュニケーションの利便性を高め人の生活を豊かにさせる反面、情報格差、健康への影響、いじめや犯罪に巻き込まれるなどの負の側面も生じている。,次の文章は正しいか答えなさい。情報技術の発展が社会へのコミュニケーションの利便性を高め人の生活を豊かにさせる反面、情報格差、健康への影響、いじめや犯罪に巻き込まれるなどの負の側面も生じている。,1
468,生体情報を変換した符号であるdna、顔、虹彩などや、公的な番号であるパスポート番号、マイナンバーなどである,"個人情報の例としては,マイナンバーやパスポート番号などの個人識別符号をあげることができる.同姓同名がいない場合は,氏名がわかれば個人を特定することができ,dna,虹彩,指紋,声紋などの生体情報も個人を識別するものとして利用することができる.","個人情報の例としては,生体情報を変換した符号であるdna、顔、虹彩などをあげなさい。",0
478,生存する個人に関する情報で、氏名・生年月日その他の記述などで特定の個人を識別できるもの。または個人識別符号が含まれるもの。,"2003年に成立した「個人情報の保護に関する法律」(以下,「個人情報保護法」という)では,個人情報を以下のように定義している。「生存する個人に関する情報であって,当該情報に含まれる氏名,生年月日その他の記述などによって特定の個人を識別できるもの(他の情報と容易に照合することができ,それによって特定の個人を識別することができることとなるものを含む。),または個人識別符号が含まれるもの。」","個人情報を次のように定義している。「生存する個人に関する情報であって,当該情報に含まれる氏名,生年月日その他の記述によって特定の個人を識別できるもの。」",0
212,データは事象や現象を数字や文字で記号化したもので、情報は意味や価値が付加されたデータのことである,"事象や現象を数字や文字などで記号化したものがデータであり,意味や価値が付加されたデータやメッセージを情報という.",データは事象や現象を数字や文字などで記号化したものである.,0
967,人間中心設計,"サインシステム,インフォグラフィックス,ユーザインタフェースなどのデザインにおいて,情報デザインとして優れているものは,利用者の立場に立ったデザインがなされている。これは「人間中心設計」という考え方で,その設計プロセスはiso(国際標準化機構)で規定されている。人間中心設計のプロセスは,利用者のニーズを把握し,そのニーズに基づいたデザインを行い,利用者の評価を受けて改善を行う。人間中心設計では,利用者のニーズを完全に満たすまで評価と改善を繰り返すことになる。",情報デザインとして優れているものに適用される考え方は何か?,0
311,真正性、信頼性、責任追跡性、否認防止,"情報セキュリティとは,情報の機密性・完全性・可用性を確保することである。2006年制定のjis q 13335-1ではさらに真正性(authenticity),責任追跡性(accountability),信頼性(reliability),否認防止(non-repudiation)を加えて7要素と呼ぶ.",2006年制定のjis q 13335-1では、情報セキュリティを構成する4要素は何か,0
890,15世紀にグーテンベルクによって活版印刷術が発明されたため、情報の複製が容易にできるようになったため、同じ情報を同時に複数人に伝えることが容易になった。,15世紀にはグーテンベルクによって活版印刷術が発明されたことにより、情報の複製が大量にできるようになったことで、同じ情報を同時に複数人に伝えることが容易になった。その後、産業革命をきっかけに、不特定多数への情報伝達の需要が高まり、マスメディアが誕生した。,何が情報の複製が大量にできるようになったことで、同じ情報を同時に複数人に伝えることが容易になったのか,0
60,15世紀にグーテンベルクによって活版印刷術が発明されたため、情報の複製が容易にできるようになったため、同じ情報を同時に複数人に伝えることが容易になった。,15世紀にはグーテンベルクによって活版印刷術が発明されたことにより、情報の複製が大量にできるようになったことで、同じ情報を同時に複数人に伝えることが容易になった。その後、産業革命をきっかけに、不特定多数への情報伝達の需要が高まり、マスメディアが誕生した。,同じ情報を同時に複数人に伝えることが容易になったのはなぜか、説明しなさい。,1
567,正しい,情報技術の発展が社会へのコミュニケーションの利便性を高め人の生活を豊かにさせる反面、情報格差、健康への影響、いじめや犯罪に巻き込まれるなどの負の側面も生じている。,次の文章は正しいか答えなさい。情報技術の発展が社会へのコミュニケーションの利便性を高め人の生活を豊かにさせる反面、情報格差、健康への影響、いじめや犯罪に巻き込まれるなどの負の要素も生じている。,1
706,標本化,"アナログ情報をデジタル化するときには,連続的に変化する量を一定の時間間隔で区切る標本化,それぞれの値にあらかじめ定めた段階値を割り当てる量子化,量子化した数値を2進法で表現する符号化の手順が行われる。","アナログ情報をデジタル情報に変換する際,連続的に変化する量を一定の時間間隔で区切るものは何ですか",0
656,正しくない,プリペイドカードでは磁気データを書き換えることで利用確認を行っている。一方で、icカード方式電子マネーでは内臓icと電波でやり取りを行うことで利用確認を行っている。,次の文章は正しいか答えなさい。icカード方式の電子マネーでは内臓icと電波でやり取りを行うことで利用確認を行っている。,0
336,情報システムごとに導入コストや運用コストのトレードオフを考慮する必要がある,"情報システムを運用する場合には導入コストや運用コストなどとのトレードオフも考慮しながら,情報システム毎に3要素の重要度を検討する必要がある。","情報システムを運用する場合には導入コストや運用コストとのトレードオフも考慮しながら,情報システム毎に3要素の重要度を検討する必要があるか",0
830,正しくない,対人コミュニケーションは特定相手を限定した個人対個人のコミュニケーションのことを指し、集団コミュニケーションは限定された小集団レベルのコミュニケーションのことを指す。また、マスコミュニケーションは不特定多数に対して行われるコミュニケーションのことをいう。,次の文章は正しいか答えなさい。マスコミュニケーションは特定相手を限定した個人対個人のコミュニケーションのことを指し、マスコミュニケーションは不特定多数に対して行われるコミュニケーションのことを指す。,0
895,マスメディア,15世紀にはグーテンベルクによって活版印刷術が発明されたことにより、情報の複製が大量にできるようになったことで、同じ情報を同時に複数人に伝えることが容易になった。その後、産業革命をきっかけに、不特定多数への情報伝達の需要が高まり、マスメディアが誕生した。,産業革命をきっかけに、不特定多数への情報伝達の需要が高まったのは何ですか?,0
936,ベクタ系画像処理ソフトではオブジェクトが数式で表現されているため、拡大・変形しても画質は劣化しない。,ベクタ系画像処理ソフトでは、円や長方形などの図形はオブジェクトというひとつの塊として描画される。オブジェクトは、数式で表現されているため、拡大・変形しても画質は劣化しない。また、オブジェクト毎に選択して重ねたり移動したりできる。,ベクタ系画像処理ソフトで円や長方形などの図形はオブジェクトという一つの塊として描画される。,0
1050,シグニファイアとは利用者に適切な行動を誘導する役割を持たせたデザインのことである。,利用者に適切な行動を誘導する役割を持たせたデザインをシグニファイアという。適切なシグニファイアがデザインされたユーザインターフェースは、利用者が得られる体験(ユーザエクスペリエンス)の向上をもたらすため、情報デザインの重要性は一層増してきている。,適切なシグニファイアがデザインされたユーザインタフェースは、利用者が得られる体験(ユーザエクスペリエンスの向上をもたらすため)の向上をもたらすため、情報デザインの重要性は一層増してきているのだろうか,0
816,正しくない,画面内に画像や文章を配置する際に重要なことは絵心ではなく、目の特性(ゲシュタルトの法則)を理解することである。,次の文章は正しいですか?画面内に画像や文章を配置する際に重要なことは絵心である。,1
451,個人情報を持つ企業や行政に対し、開示、訂正、利用停止等を求めることができる,"我々は,個人情報を持つ企業や行政機関について,開示,訂正,利用停止等を求めることができる権利が保障されているので,これらを適切に行使して自分の個人情報を適切に保つことができる.","我々は,開示、訂正、利用停止を求めることができる権利が保障されているので,これらのを適切に行使して自分の個人情報を適切に保つことができる.",0
779,ベクターデータ,"コンピュータで扱う画像データには様々な種類がある。画像データは大別して,ラスタデータとベクタデータに大きく分けられる。ラスタデータは,画像を色情報を持った点を使って表現したデータで,ビットマップデータとも呼ばれる。ラスタデータは,写真や自然画などを扱うのに適している。しかしラスタデータは,点の集合で表現されているため,画像の拡大・縮小・変形などには適さない。ベクタデータは,画像を点とそれを結ぶ線や面で計算処理して表現したデータで,イラストや図面などを作成するのに適している。ベクタデータは,表示するたびに,計算を行って画像を表現するため,画像を拡大・縮小・変形したりしても,画質が維持されるという特徴がある。","画像を点とそれを結ぶ線や面で計算処理して表現したデータは,ラスタデータとベクタデータに分類される。",0
169,実行するたびに処理内容が変わるような変則的なプログラムを作成することが可能となる,"ある一定の範囲内において,すべての数が同じ確率で現れるような数のことを乱数という。コンピュータはその特質上計算で値を生成するので計算による擬似的な乱数しか生成できない。これを擬似乱数(以後「乱数」と表現する)という。この乱数をプログラム内で用いることにより,実行するたびに処理内容が変わるような変則的なプログラムを作成することが可能となり,プログラムを現実世界のシミュレーションなどに活用することが可能となる。",プログラムに乱数を用いることでどのような利点が発生するか。,1
945,正しくない,ラスタ系画像処理ソフトでは、画像を小さな点(ピクセル)で描画する。そのため、拡大や変形すると画像が粗くなる場合がある。また、ベクタ系とは異なり画像内にある一部の円や長方形だけを移動したり、削除することはできない。,ラスタ系画像処理ソフトでは、拡大や変形すると画像が粗くなる。次の文章は正しいか答えなさい。,0
54,正しくない,対人コミュニケーションは特定相手を限定した個人対個人のコミュニケーションのことを指し、集団コミュニケーションは限定された小集団レベルのコミュニケーションのことを指す。また、マスコミュニケーションは不特定多数に対して行われるコミュニケーションのことをいう。,次の文章は正しいか答えなさい。マスコミュニケーションは特定相手を限定した個人対個人のコミュニケーションのことである。,1
873,紙,旧石器時代の人類は、壁画などを用いて情報を伝えることもあったと考えられる。その後、楔形文字やヒエログリフなどの文字が生まれ、紙の普及により筆記のコミュニケーションが盛んになった。,楔形文字やヒエログリフなどの文字が生まれ、筆記のコミュニケーションが盛んになった。,0
965,人間中心設計,"サインシステム,インフォグラフィックス,ユーザインタフェースなどのデザインにおいて,情報デザインとして優れているものは,利用者の立場に立ったデザインがなされている。これは「人間中心設計」という考え方で,その設計プロセスはiso(国際標準化機構)で規定されている。人間中心設計のプロセスは,利用者のニーズを把握し,そのニーズに基づいたデザインを行い,利用者の評価を受けて改善を行う。人間中心設計では,利用者のニーズを完全に満たすまで評価と改善を繰り返すことになる。",情報デザインとして優れているものに適用される考え方は何か?,0
761,ラスタデータ,"コンピュータで扱う画像データには様々な種類がある。画像データは大別して,ラスタデータとベクタデータに大きく分けられる。ラスタデータは,画像を色情報を持った点を使って表現したデータで,ビットマップデータとも呼ばれる。ラスタデータは,写真や自然画などを扱うのに適している。しかしラスタデータは,点の集合で表現されているため,画像の拡大・縮小・変形などには適さない。ベクタデータは,画像を点とそれを結ぶ線や面で計算処理して表現したデータで,イラストや図面などを作成するのに適している。ベクタデータは,表示するたびに,計算を行って画像を表現するため,画像を拡大・縮小・変形したりしても,画質が維持されるという特徴がある。",写真や自然画などを扱うのに適した画像データはどれか,0
667,正しくない,クレジットカードでは使用者は利用後に支払いを行う。,次の文章は正しいか答えなさい。クレジットカードでは使用者は利用前の支払いを行う。,0
474,生存する個人に関する情報で、氏名・生年月日その他の記述などで特定の個人を識別できるもの。または個人識別符号が含まれるもの。,"2003年に成立した「個人情報の保護に関する法律」(以下,「個人情報保護法」という)では,個人情報を以下のように定義している。「生存する個人に関する情報であって,当該情報に含まれる氏名,生年月日その他の記述などによって特定の個人を識別できるもの(他の情報と容易に照合することができ,それによって特定の個人を識別することができることとなるものを含む。),または個人識別符号が含まれるもの。」","「個人情報保護法」は「生存する個人に関する情報で,当該情報に含まれる氏名,生年月日その他の記述によって特定の個人を識別できるもの。",0
