type,answer,passage,question,tf
description,ブレーンストーミングのルールは質より量、制約を設けない、便乗の推奨、批判の禁止である,ブレーンストーミングには質より量，制約を設けない，便乗の奨励，批判の禁止の4つのルールがある．,"ブレーンストーミングのルールは質より量,制約を設けない,便乗の奨励,批判の禁止の4つのルールがある.",0
description,ブレーンストーミングのルールは質より量、制約を設けない、便乗の推奨、批判の禁止である,ブレーンストーミングには質より量，制約を設けない，便乗の奨励，批判の禁止の4つのルールがある．,"ブレーンストーミングのルールは質より量、制約を設けない,便乗の奨励,批判の禁止の4つのルールがある.",0
description,ブレーンストーミングのルールは質より量、制約を設けない、便乗の推奨、批判の禁止である,ブレーンストーミングには質より量，制約を設けない，便乗の奨励，批判の禁止の4つのルールがある．,"ブレーンストーミングのルールは質より量,制約を設けない,便乗の推奨,批判の禁止の4つのルールがある.",0
description,ブレーンストーミングのルールは質より量、制約を設けない、便乗の推奨、批判の禁止である,ブレーンストーミングには質より量，制約を設けない，便乗の奨励，批判の禁止の4つのルールがある．,"ブレーンストーミングのルールは質より量,制約を設けない,便乗の推奨、批判の禁止の4つのルールがある.",0
description,ブレーンストーミングのルールは質より量、制約を設けない、便乗の推奨、批判の禁止である,ブレーンストーミングには質より量，制約を設けない，便乗の奨励，批判の禁止の4つのルールがある．,"ブレーンストーミングのルールは質より量、制約を設けない,便乗の推奨,批判の禁止の4つのルールがある.",0
description,ブレーンストーミングのルールは質より量、制約を設けない、便乗の推奨、批判の禁止である,ブレーンストーミングには質より量，制約を設けない，便乗の奨励，批判の禁止の4つのルールがある．,"ブレーンストーミングには4つのルールがありますが、質より量,制約を設けない,便乗の推奨,批判の禁止の4つのルールがある.",0
description,ブレーンストーミングのルールは質より量、制約を設けない、便乗の推奨、批判の禁止である,ブレーンストーミングには質より量，制約を設けない，便乗の奨励，批判の禁止の4つのルールがある．,ブレーンストーミングには4つのルールがあります。,0
description,ブレーンストーミングのルールは質より量、制約を設けない、便乗の推奨、批判の禁止である,ブレーンストーミングには質より量，制約を設けない，便乗の奨励，批判の禁止の4つのルールがある．,"ブレーンストーミングのルールは質より量,制約を設けない,便乗の奨励,批判の禁止の4つのルールがある",0
description,"アイデアの近さやまとまりを可視化するKJ法や、一定のルールに基づいて構造的にアイデアを表すものがロジックツリーやコンセ プトマップがある ",アイデアを整理し，可視化する有効な手法として，アイデアをそれぞれのカードに記し，二次元に配置しながらグループ化したり表題をつけたり関連づけたりするなどして有意な解釈や新たなアイデアなどを生み出す方法や，アイデアや項目などを一定のルールのもとに線でつなぎながら関連を分かりやすく示す方法などがある．前者の代表的な例として「KJ法」が，後者の代表的な例として「ロジックツリー」「コンセプトマップ」などが挙げられる．,"アイデアを整理し,可視化する有効な方法にはどのようなものがありますか?",1
description,"アイデアの近さやまとまりを可視化するKJ法や、一定のルールに基づいて構造的にアイデアを表すものがロジックツリーやコンセ プトマップがある ",アイデアを整理し，可視化する有効な手法として，アイデアをそれぞれのカードに記し，二次元に配置しながらグループ化したり表題をつけたり関連づけたりするなどして有意な解釈や新たなアイデアなどを生み出す方法や，アイデアや項目などを一定のルールのもとに線でつなぎながら関連を分かりやすく示す方法などがある．前者の代表的な例として「KJ法」が，後者の代表的な例として「ロジックツリー」「コンセプトマップ」などが挙げられる．,"アイデアを整理し,可視化する有効な手法にはどのようなものがありますか?",1
description,"アイデアの近さやまとまりを可視化するKJ法や、一定のルールに基づいて構造的にアイデアを表すものがロジックツリーやコンセ プトマップがある ",アイデアを整理し，可視化する有効な手法として，アイデアをそれぞれのカードに記し，二次元に配置しながらグループ化したり表題をつけたり関連づけたりするなどして有意な解釈や新たなアイデアなどを生み出す方法や，アイデアや項目などを一定のルールのもとに線でつなぎながら関連を分かりやすく示す方法などがある．前者の代表的な例として「KJ法」が，後者の代表的な例として「ロジックツリー」「コンセプトマップ」などが挙げられる．,"アイデアを整理し,可視化する有効な方法にはどのようなものがありますか",1
description,"アイデアの近さやまとまりを可視化するKJ法や、一定のルールに基づいて構造的にアイデアを表すものがロジックツリーやコンセ プトマップがある ",アイデアを整理し，可視化する有効な手法として，アイデアをそれぞれのカードに記し，二次元に配置しながらグループ化したり表題をつけたり関連づけたりするなどして有意な解釈や新たなアイデアなどを生み出す方法や，アイデアや項目などを一定のルールのもとに線でつなぎながら関連を分かりやすく示す方法などがある．前者の代表的な例として「KJ法」が，後者の代表的な例として「ロジックツリー」「コンセプトマップ」などが挙げられる．,"アイデアを整理し,可視化する有効な手法として代表的なものは何か",1
description,"アイデアの近さやまとまりを可視化するKJ法や、一定のルールに基づいて構造的にアイデアを表すものがロジックツリーやコンセ プトマップがある ",アイデアを整理し，可視化する有効な手法として，アイデアをそれぞれのカードに記し，二次元に配置しながらグループ化したり表題をつけたり関連づけたりするなどして有意な解釈や新たなアイデアなどを生み出す方法や，アイデアや項目などを一定のルールのもとに線でつなぎながら関連を分かりやすく示す方法などがある．前者の代表的な例として「KJ法」が，後者の代表的な例として「ロジックツリー」「コンセプトマップ」などが挙げられる．,"アイデアを整理し,可視化する有効な手法にはどのようなものがありますか",1
description,"アイデアの近さやまとまりを可視化するKJ法や、一定のルールに基づいて構造的にアイデアを表すものがロジックツリーやコンセ プトマップがある ",アイデアを整理し，可視化する有効な手法として，アイデアをそれぞれのカードに記し，二次元に配置しながらグループ化したり表題をつけたり関連づけたりするなどして有意な解釈や新たなアイデアなどを生み出す方法や，アイデアや項目などを一定のルールのもとに線でつなぎながら関連を分かりやすく示す方法などがある．前者の代表的な例として「KJ法」が，後者の代表的な例として「ロジックツリー」「コンセプトマップ」などが挙げられる．,"アイデアを整理し,可視化する有効な方法は何か",1
description,"アイデアの近さやまとまりを可視化するKJ法や、一定のルールに基づいて構造的にアイデアを表すものがロジックツリーやコンセ プトマップがある ",アイデアを整理し，可視化する有効な手法として，アイデアをそれぞれのカードに記し，二次元に配置しながらグループ化したり表題をつけたり関連づけたりするなどして有意な解釈や新たなアイデアなどを生み出す方法や，アイデアや項目などを一定のルールのもとに線でつなぎながら関連を分かりやすく示す方法などがある．前者の代表的な例として「KJ法」が，後者の代表的な例として「ロジックツリー」「コンセプトマップ」などが挙げられる．,"アイデアを整理し,可視化するための有効な手法にはどのようなものがありますか?",1
description,"アイデアの近さやまとまりを可視化するKJ法や、一定のルールに基づいて構造的にアイデアを表すものがロジックツリーやコンセ プトマップがある ",アイデアを整理し，可視化する有効な手法として，アイデアをそれぞれのカードに記し，二次元に配置しながらグループ化したり表題をつけたり関連づけたりするなどして有意な解釈や新たなアイデアなどを生み出す方法や，アイデアや項目などを一定のルールのもとに線でつなぎながら関連を分かりやすく示す方法などがある．前者の代表的な例として「KJ法」が，後者の代表的な例として「ロジックツリー」「コンセプトマップ」などが挙げられる．,"アイデアを整理し,可視化する有効な手法としてはどのようなものがありますか?",1
description,"アイデアの近さやまとまりを可視化するKJ法や、一定のルールに基づいて構造的にアイデアを表すものがロジックツリーやコンセ プトマップがある ",アイデアを整理し，可視化する有効な手法として，アイデアをそれぞれのカードに記し，二次元に配置しながらグループ化したり表題をつけたり関連づけたりするなどして有意な解釈や新たなアイデアなどを生み出す方法や，アイデアや項目などを一定のルールのもとに線でつなぎながら関連を分かりやすく示す方法などがある．前者の代表的な例として「KJ法」が，後者の代表的な例として「ロジックツリー」「コンセプトマップ」などが挙げられる．,"アイデアを整理し,可視化するための有効な手法にはどのようなものがありますか",1
description,"アイデアの近さやまとまりを可視化するKJ法や、一定のルールに基づいて構造的にアイデアを表すものがロジックツリーやコンセ プトマップがある ",アイデアを整理し，可視化する有効な手法として，アイデアをそれぞれのカードに記し，二次元に配置しながらグループ化したり表題をつけたり関連づけたりするなどして有意な解釈や新たなアイデアなどを生み出す方法や，アイデアや項目などを一定のルールのもとに線でつなぎながら関連を分かりやすく示す方法などがある．前者の代表的な例として「KJ法」が，後者の代表的な例として「ロジックツリー」「コンセプトマップ」などが挙げられる．,"アイデアを整理し,可視化する有効な手法の代表的なものは何か",1
tf,正しくない,事象や現象を数字や文字などで記号化したものがデータであり，意味や価値が付加されたデータやメッセージを情報という．,次の文章は正しいか答えなさい.事象や現象を数字や文字などで記号化したものが情報である.,1
tf,正しくない,事象や現象を数字や文字などで記号化したものがデータであり，意味や価値が付加されたデータやメッセージを情報という．,"次の文章は正しいか答えなさい.事象や現象を数字や文字などで記号化したものが情報であり,意味や価値が付加されたデータやメッセージを情報という.",0
tf,正しくない,事象や現象を数字や文字などで記号化したものがデータであり，意味や価値が付加されたデータやメッセージを情報という．,次の文章は正しいか答えなさい。事象や現象を数字や文字などで記号化したものが情報である.,1
tf,正しくない,事象や現象を数字や文字などで記号化したものがデータであり，意味や価値が付加されたデータやメッセージを情報という．,次の文章は正しいか答えなさい.事象や現象を数字や文字などで記号化したものがデータである.,0
tf,正しくない,事象や現象を数字や文字などで記号化したものがデータであり，意味や価値が付加されたデータやメッセージを情報という．,"次の文章は正しいか答えなさい。事象や現象を数字や文字などで記号化したものが情報であり,意味や価値が付加されたデータやメッセージを情報という.",0
tf,正しくない,事象や現象を数字や文字などで記号化したものがデータであり，意味や価値が付加されたデータやメッセージを情報という．,"次の文章は正しいか答えなさい.事象や現象を数字や文字などで記号化したものがデータであり,意味や価値が付加されたデータやメッセージを情報という.",0
tf,正しくない,事象や現象を数字や文字などで記号化したものがデータであり，意味や価値が付加されたデータやメッセージを情報という．,次の文章は正しいか答えなさい.事象や現象を数字や文字などで記号化したものが情報を情報という.,0
tf,正しくない,事象や現象を数字や文字などで記号化したものがデータであり，意味や価値が付加されたデータやメッセージを情報という．,次の文章は正しいか答えなさい。事象や現象を数字や文字などで記号化したものがデータである.,0
tf,正しくない,事象や現象を数字や文字などで記号化したものがデータであり，意味や価値が付加されたデータやメッセージを情報という．,"次の文章は正しいか答えなさい.「事象や現象を数字や文字などで記号化したものが情報であり,意味や価値が付加されたデータやメッセージを情報という.",0
tf,正しくない,事象や現象を数字や文字などで記号化したものがデータであり，意味や価値が付加されたデータやメッセージを情報という．,"次の文章は正しいか答えなさい.「事象や現象を数字や文字などで記号化したものが情報であり,意味や価値が付加されたデータやメッセージを情報という.」",0
tf,正しくない,情報の代表的な特性として，以下の4つがあげられる。1形がない 2消えない 3簡単に複製できる 4容易に伝播する。これらの特性は「もの」と比較して考えると分かりやすい。,次の文章は正しいか答えなさい。情報の代表的な特性は「形がない」である。,0
tf,正しくない,情報の代表的な特性として，以下の4つがあげられる。1形がない 2消えない 3簡単に複製できる 4容易に伝播する。これらの特性は「もの」と比較して考えると分かりやすい。,次の文章は正しいか答えなさい。情報の代表的な特性は「形がない」と「簡単に複製できる」である。,0
tf,正しくない,情報の代表的な特性として，以下の4つがあげられる。1形がない 2消えない 3簡単に複製できる 4容易に伝播する。これらの特性は「もの」と比較して考えると分かりやすい。,次の文章は正しいか答えなさい。情報の代表的な特性は「形がない」と比較して考えるとわかりやすい。,0
tf,正しくない,情報の代表的な特性として，以下の4つがあげられる。1形がない 2消えない 3簡単に複製できる 4容易に伝播する。これらの特性は「もの」と比較して考えると分かりやすい。,次の文章は正しいか答えなさい。情報の代表的な特徴は「形がない」である。,0
tf,正しくない,情報の代表的な特性として，以下の4つがあげられる。1形がない 2消えない 3簡単に複製できる 4容易に伝播する。これらの特性は「もの」と比較して考えると分かりやすい。,次の文章は正しいか答えなさい。情報の代表的な特徴は「形がない」と「簡単に複製できる」である。,0
tf,正しくない,情報の代表的な特性として，以下の4つがあげられる。1形がない 2消えない 3簡単に複製できる 4容易に伝播する。これらの特性は「もの」と比較して考えると分かりやすい。,次の文章は正しいか答えなさい。情報の代表的な特性は「形がない」と「簡単に複製できる」の組み合わせである。,0
tf,正しくない,情報の代表的な特性として，以下の4つがあげられる。1形がない 2消えない 3簡単に複製できる 4容易に伝播する。これらの特性は「もの」と比較して考えると分かりやすい。,次の文章は正しいか答えなさい。情報の代表的な特性は「形がない」と「簡単にコピーできる」である。,0
tf,正しくない,情報の代表的な特性として，以下の4つがあげられる。1形がない 2消えない 3簡単に複製できる 4容易に伝播する。これらの特性は「もの」と比較して考えると分かりやすい。,次の文章は正しいか答えなさい。情報の代表的な特性は「形がない」、「消える」、「簡単に複製できる」、「容易に伝播する」である。,1
tf,正しくない,情報の代表的な特性として，以下の4つがあげられる。1形がない 2消えない 3簡単に複製できる 4容易に伝播する。これらの特性は「もの」と比較して考えると分かりやすい。,次の文章は正しいか答えなさい。情報の代表的な特性は「形がない」、「消える」、「簡単に複製できない」、「容易に伝播する」である。,1
tf,正しくない,情報の代表的な特性として，以下の4つがあげられる。1形がない 2消えない 3簡単に複製できる 4容易に伝播する。これらの特性は「もの」と比較して考えると分かりやすい。,次の文章は正しいか答えなさい。情報の代表的な特性は「形がない」「消える」「簡単に複製できる」である。,1
word,不正アクセス禁止法違反、コンピュータ・電磁的記録対象犯罪等、ネットワーク利用犯罪,平成30年の警察白書によれば，サイバー犯罪は次の3つの類型に区別されている。1.不正アクセス禁止法違反 2.コンピュータ・電磁的記録対象犯罪等 3.ネットワーク利用犯罪,サイバー犯罪にはどのような類型がありますか?,1
word,不正アクセス禁止法違反、コンピュータ・電磁的記録対象犯罪等、ネットワーク利用犯罪,平成30年の警察白書によれば，サイバー犯罪は次の3つの類型に区別されている。1.不正アクセス禁止法違反 2.コンピュータ・電磁的記録対象犯罪等 3.ネットワーク利用犯罪,サイバー犯罪の3つの類型にはどのようなものがありますか?,1
word,不正アクセス禁止法違反、コンピュータ・電磁的記録対象犯罪等、ネットワーク利用犯罪,平成30年の警察白書によれば，サイバー犯罪は次の3つの類型に区別されている。1.不正アクセス禁止法違反 2.コンピュータ・電磁的記録対象犯罪等 3.ネットワーク利用犯罪,サイバー犯罪の種類は3つありますか?,0
word,不正アクセス禁止法違反、コンピュータ・電磁的記録対象犯罪等、ネットワーク利用犯罪,平成30年の警察白書によれば，サイバー犯罪は次の3つの類型に区別されている。1.不正アクセス禁止法違反 2.コンピュータ・電磁的記録対象犯罪等 3.ネットワーク利用犯罪,サイバー犯罪は次の3つの類型に区別されているか?,0
word,不正アクセス禁止法違反、コンピュータ・電磁的記録対象犯罪等、ネットワーク利用犯罪,平成30年の警察白書によれば，サイバー犯罪は次の3つの類型に区別されている。1.不正アクセス禁止法違反 2.コンピュータ・電磁的記録対象犯罪等 3.ネットワーク利用犯罪,サイバー犯罪の3つの類型は何ですか?,1
word,不正アクセス禁止法違反、コンピュータ・電磁的記録対象犯罪等、ネットワーク利用犯罪,平成30年の警察白書によれば，サイバー犯罪は次の3つの類型に区別されている。1.不正アクセス禁止法違反 2.コンピュータ・電磁的記録対象犯罪等 3.ネットワーク利用犯罪,サイバー犯罪の3つの類型は何か?,1
word,不正アクセス禁止法違反、コンピュータ・電磁的記録対象犯罪等、ネットワーク利用犯罪,平成30年の警察白書によれば，サイバー犯罪は次の3つの類型に区別されている。1.不正アクセス禁止法違反 2.コンピュータ・電磁的記録対象犯罪等 3.ネットワーク利用犯罪,サイバー犯罪は3つの類型に分類できるか?,0
word,不正アクセス禁止法違反、コンピュータ・電磁的記録対象犯罪等、ネットワーク利用犯罪,平成30年の警察白書によれば，サイバー犯罪は次の3つの類型に区別されている。1.不正アクセス禁止法違反 2.コンピュータ・電磁的記録対象犯罪等 3.ネットワーク利用犯罪,サイバー犯罪は次の3つの類型に区別されているか,0
word,不正アクセス禁止法違反、コンピュータ・電磁的記録対象犯罪等、ネットワーク利用犯罪,平成30年の警察白書によれば，サイバー犯罪は次の3つの類型に区別されている。1.不正アクセス禁止法違反 2.コンピュータ・電磁的記録対象犯罪等 3.ネットワーク利用犯罪,サイバー犯罪にはどのような種類がありますか?,1
word,不正アクセス禁止法違反、コンピュータ・電磁的記録対象犯罪等、ネットワーク利用犯罪,平成30年の警察白書によれば，サイバー犯罪は次の3つの類型に区別されている。1.不正アクセス禁止法違反 2.コンピュータ・電磁的記録対象犯罪等 3.ネットワーク利用犯罪,サイバー犯罪の3つの類型は何か,1
word,情報の機密性・完全性・可用性,情報システムを安心して利用するには，情報セキュリティ対策が必要である。情報セキュリティとは，情報の機密性・完全性・可用性(情報セキュリティの3要素)を確保することである。,"情報セキュリティとは,情報セキュリティの3要素である。",0
word,情報の機密性・完全性・可用性,情報システムを安心して利用するには，情報セキュリティ対策が必要である。情報セキュリティとは，情報の機密性・完全性・可用性(情報セキュリティの3要素)を確保することである。,情報セキュリティとは何か?,0
word,情報の機密性・完全性・可用性,情報システムを安心して利用するには，情報セキュリティ対策が必要である。情報セキュリティとは，情報の機密性・完全性・可用性(情報セキュリティの3要素)を確保することである。,"情報セキュリティとは,情報セキュリティの3要素のことですか?",0
word,情報の機密性・完全性・可用性,情報システムを安心して利用するには，情報セキュリティ対策が必要である。情報セキュリティとは，情報の機密性・完全性・可用性(情報セキュリティの3要素)を確保することである。,"情報セキュリティとは,情報セキュリティの3要素を確保することである。",0
word,情報の機密性・完全性・可用性,情報システムを安心して利用するには，情報セキュリティ対策が必要である。情報セキュリティとは，情報の機密性・完全性・可用性(情報セキュリティの3要素)を確保することである。,情報セキュリティの3要素は何を確保することであるか?,0
word,情報の機密性・完全性・可用性,情報システムを安心して利用するには，情報セキュリティ対策が必要である。情報セキュリティとは，情報の機密性・完全性・可用性(情報セキュリティの3要素)を確保することである。,情報セキュリティとは何ですか?,0
word,情報の機密性・完全性・可用性,情報システムを安心して利用するには，情報セキュリティ対策が必要である。情報セキュリティとは，情報の機密性・完全性・可用性(情報セキュリティの3要素)を確保することである。,"情報セキュリティとは,情報セキュリティの3要素をいう。",0
word,情報の機密性・完全性・可用性,情報システムを安心して利用するには，情報セキュリティ対策が必要である。情報セキュリティとは，情報の機密性・完全性・可用性(情報セキュリティの3要素)を確保することである。,情報セキュリティとはどのような3要素を確保することであるか?,1
word,情報の機密性・完全性・可用性,情報システムを安心して利用するには，情報セキュリティ対策が必要である。情報セキュリティとは，情報の機密性・完全性・可用性(情報セキュリティの3要素)を確保することである。,情報セキュリティの3要素は何を確保することである。,0
word,情報の機密性・完全性・可用性,情報システムを安心して利用するには，情報セキュリティ対策が必要である。情報セキュリティとは，情報の機密性・完全性・可用性(情報セキュリティの3要素)を確保することである。,"情報セキュリティとは,情報セキュリティの3要素を確保ことである。",0
description,英数字・記号などを組み合わせ、他人に容易に推測されないようにする。,これらを実現するためには，認証技術は欠かすことができない。認証はユーザIDとパスワードを使って行うことが多い。一般の利用者が情報システムを利用するにあたり，設定するパスワードは通常，英数字，記号などを組み合わせ，他の人に容易に推測されない複雑なものにする必要がある。,"一般の利用者が情報システムを利用するにあたり,設定するパスワードはどのようなものですか?",0
description,英数字・記号などを組み合わせ、他人に容易に推測されないようにする。,これらを実現するためには，認証技術は欠かすことができない。認証はユーザIDとパスワードを使って行うことが多い。一般の利用者が情報システムを利用するにあたり，設定するパスワードは通常，英数字，記号などを組み合わせ，他の人に容易に推測されない複雑なものにする必要がある。,"一般の利用者が情報システムを利用するにあたり,設定するパスワードは複雑である。",0
description,英数字・記号などを組み合わせ、他人に容易に推測されないようにする。,これらを実現するためには，認証技術は欠かすことができない。認証はユーザIDとパスワードを使って行うことが多い。一般の利用者が情報システムを利用するにあたり，設定するパスワードは通常，英数字，記号などを組み合わせ，他の人に容易に推測されない複雑なものにする必要がある。,"一般の利用者が情報システムを利用するにあたり,設定するパスワードは通常,どのようなものですか?",0
