no,type,answer,passage,question
1-2-4,word,真正性、信頼性、責任追跡性、否認防止,情報セキュリティとは，情報の機密性・完全性・可用性を確保することである。2006年制定のJIS Q 13335-1ではさらに真正性(authenticity)，責任追跡性(accountability)，信頼性(reliability)，否認防止(non-repudiation)を加えて7要素と呼ぶ．,情報セキュリティには機密性、完全性、可用性のほかにどのような要素がありますか
1-2-5,description,コンピュータに入り込んで不正行為を行う悪意のあるプログラムのことである,コンピュータに入り込んで不正行為を行う悪意のあるプログラムのことをマルウェアと呼び，これは広義のコンピュータウイルスに当たる．,マルウェアとは何ですか
1-2-6,description,サイバー犯罪は匿名性が高い、痕跡が残りにくい、不特定多数が被害を受ける、時間と空間の制約がないという特徴がある,ネットワークを利用したサイバー犯罪には次のような特徴がある．1匿名性が高い2痕跡が残りにくい3不特定多数が被害を受ける4時間と空間の制約がない,サイバー犯罪の特徴は何ですか
1-2-7,description,情報システムごとに導入コストや運用コストのトレードオフを考慮する必要がある,情報システムを運用する場合には導入コストや運用コストなどとのトレードオフも考慮しながら，情報システム毎に3要素の重要度を検討する必要がある。,情報システムに情報セキュリティの3要素を組み込む場合、どのようなことを考慮すれば良いですか
1-2-8,tf,正しい,平成30年の警察白書によれば，サイバー犯罪は次の3つの類型に区別されている。1.不正アクセス禁止法違反 2.コンピュータ・電磁的記録対象犯罪等 3.ネットワーク利用犯罪,次の文章は正しいか答えなさい。サイバー犯罪は次の3つの類型に区別されている。1.不正アクセス禁止法違反 2.コンピュータ・電磁的記録対象犯罪等 3.ネットワーク利用犯罪
1-2-9,tf,正しくない,ネットワークを利用したサイバー犯罪には次のような特徴がある。1.匿名性が高い 2.痕跡が残りにくい 3.不特定多数が被害を受ける 4.時間と空間の制約がない,次の文章は正しいか答えなさい。ネットワークを利用したサイバー犯罪には次のような特徴がある。1. 匿名性が低い 2.痕跡が残りやすい 3. 不特定多数が被害を受ける 4.時間と空間の制約がある
1-2-10,tf,正しい,一般の利用者が情報システムを利用するにあたり、設定するパスワードは通常、英数字、記号などを組み合わせ、他の人に容易に推測されない複雑なものにする必要がある。,次の文章は正しいか答えなさい。一般の利用者が情報システムを利用するにあたり、設定するパスワードは通常、英数字、記号などを組み合わせ、他の人に容易に推測されない複雑なものにする必要がある。
1-3-1,word,産業財産権と著作権,知的財産権とは，人間の幅広い知的創造活動の成果について，その創作者に一定期間の権利保護を与えるようにした制度である。知的財産権は，申請の必要な産業に関する産業財産権と，申請の必要がない文化や芸術に関する著作権に大きく分けられる。,知的財産権は何と何に大きく分けられる？
1-3-2,description,"情報機器が普及したことで映像や音楽、イラストや写真など多くの著作物を手軽に利用かつ複製できるようになったため、著作権 についてよく理解した上で活用するようにしなければならない ",情報機器等が普及し，デジタル化が進んだことにより，映像，音楽，イラストや写真，文章など多くの著作物を手軽に利用でき，また複製できるようになった．手軽に利用できるようになったからこそ，知らぬ間に著作権を侵害してしまうことのないように，著作権についてよく理解した上で，著作物を守り活用していく姿勢が求められる．,情報機器が普及したことで著作権に対してどのようなことに気を付ければ良いですか
1-3-3,word,知的財産権,知的財産権とは，人間の幅広い知的創造活動の成果について，その創作者に一定期間の権利保護を与えるようにした制度である。知的財産権は，申請の必要な産業に関する産業財産権と，申請の必要がない文化や芸術に関する著作権に大きく分けられる。,人間の幅広い知的創造活動の成果について，その創作者に一定期間の権利保護を与えるようにした制度をなんという？
1-3-4,description,"産業財産権には、新しい発明を出願から20年間保護する特許権、物品の構造・形状の考案を出願から20年間保護する実用新案権、 商品やサービスに使用するマークを保護する商標権、物品のデザインを登録から25年間保護する意匠権がある。 ",特許権，実用新案権，意匠権，商標権を総称して産業財産権といい，新しい技術やデザインなどに対して独占的に使用できる権利が与えられ，模倣されないように保護される．,産業財産権にはどのようなものがありますか
1-3-5,word,商標権,特許権，実用新案権，意匠権，商標権を総称して産業財産権といい，新しい技術やデザインなどに対して独占的に使用できる権利が与えられ，模倣されないように保護される。,産業財産権は特許権，実用新案権，意匠権と何の総称？
1-3-6,description,"生存する個人に関する情報であって、当該情報に含まれる氏名、生年月日その他の記述等により特定の個人を識別することができ るもの、あるいは個人識別符号が含まれるもの ",2003年に成立した「個人情報の保護に関する法律」では，個人情報を次のように定義している。「生存する個人に関する情報であって，当該情報に含まれる氏名，生年月日，その他の記述などによって特定の個人を識別できるもの(他の情報と容易に照合することができ，それによって特定の個人を識別することができることとなるものを含む)，または個人識別符号が含まれるもの。」,個人情報とは何ですか
1-3-7,word,特許庁,特許権，実用新案権，意匠権，商標権を総称して産業財産権といい，新しい技術やデザインなどに対して独占的に使用できる権利が与えられ，模倣されないように保護される。これらは，特許庁に出願し，登録することで権利が発生する。なお，権利の性質上，商標権は更新が可能となっている。,産業財産権はどこに出願し，登録することで権利が発生する？
1-3-8,description,個人情報を持つ企業や行政に対し、開示、訂正、利用停止等を求めることができる,我々は，個人情報を持つ企業や行政機関について，開示，訂正，利用停止等を求めることができる権利が保障されているので，これらを適切に行使して自分の個人情報を適切に保つことができる．,我々は個人情報を持つ企業や行政に対しどのような権利を保障されていますか
1-3-9,tf,正しくない,教育を担任する者、授業を受ける者は、授業の過程で利用するために、必要と認められる限度に置いて著作物を複製できる。ただし、著作権者の利益を不当に害することは違法になる。,教育者が授業の過程で利用するために著作物を複製することは違法である。○か×か。
1-3-10,description,"生体情報を変換した符号であるDNA、顔、虹彩などや、公的な番号であるパスポート番号、マイナンバーなどである ",個人情報の例としては，マイナンバーやパスポート番号などの個人識別符号をあげることができる．同姓同名がいない場合は，氏名がわかれば個人を特定することができ，DNA，虹彩，指紋，声紋などの生体情報も個人を識別するものとして利用することができる．,個人識別符号とは具体的にどのようなものですか
1-3-11,description,生存する個人に関する情報で、氏名・生年月日その他の記述などで特定の個人を識別できるもの。または個人識別符号が含まれるもの。,2003年に成立した「個人情報の保護に関する法律」(以下，「個人情報保護法」という)では，個人情報を以下のように定義している。「生存する個人に関する情報であって，当該情報に含まれる氏名，生年月日その他の記述などによって特定の個人を識別できるもの(他の情報と容易に照合することができ，それによって特定の個人を識別することができることとなるものを含む。)，または個人識別符号が含まれるもの。」," 2003年に成立した個人情報保護法における個人情報の定義を答えよ。"
1-3-12,word,プライバシーの権利,19世紀末に米国の法律家であるサミュエル・D・ウォーレンスとルイス・D・ブランダイスが，一人にしておいてもらう権利(私生活をみだりに他人の目にさらされない権利)として「プライバシーの権利」を主張した。,19世紀末にサミュエル・D・ウォーレンスとルイス・D・ブランダイスにより提唱された、私生活をみだりに他人の目にさらされない権利の名称は？
1-3-13,tf,正しくない,特許権、実用新案権、意匠権、商標権を総称して産業財産権という。,次の文章は正しいか答えなさい。特許権、実用新案権、意匠権を総称して産業財産権という。
1-3-14,tf,正しくない,知的財産権は、申請が必要な産業に関する産業財産権と、申請の必要がない文化や芸術に関する著作権に大きく分けられる。,次の文章は正しいか答えなさい。知的財産権は、申請の必要がない産業に関する産業財産権と、申請が必要な文化や芸術に関する著作権に大きく分けられる。
1-3-15,tf,正しい,授業での利用（著作権法第35条）では教育を担当する者、授業を受ける者は、授業の過程で利用するために、必要と認められる限度に置いて著作物を複製できる。ただし、著作権者の利益を不当に害することは違法になる。,次の文章は正しいか答えなさい。授業での利用（著作権法第35条）では教育を担当する者、授業を受ける者は、授業の過程で利用するために、必要と認められる限度に置いて著作物を複製できる。ただし、著作権者の利益を不当に害することは違法になる。
1-4-1,description,情報格差や健康への影響、いじめや犯罪に巻き込まれるといった問題がある,スマートフォンなど個人が所有する情報機器の普及はSNSの普及につながり，コミュニケーションの利便性の向上につながっていると考えられる反面，年齢や所得など，個人の技術や社会環境の差により格差(デジタルディバイド)が生じ，新しい情報を手に入れる機械や量が異なることがある．,スマートフォンやSNSの普及によって利便性が向上した反面、どのようなことが問題となっていますか
1-4-2,description,10代はSNSや動画投稿・共有サイト、友人とのチャットが情報源であり、60代は新聞やテレビを情報源としている,10代は情報源としてSNSや動画投稿・共有サイト，友人とのチャットが中心であるように読み取れる．60歳以上は，ネットの利用時間が短く,10代と60代の情報源はどのように異なりますか
1-4-3,description,主な利用目的としてコミュニケーション、動画視聴、音楽試聴があげられる,特に，2018年に発表された内閣府による青少年のインターネット利用環境実態調査の結果によると，平均1日あたり，高校生の53.8%が3時間以上インターネットを利用しており，5時間以上利用している者も26.1%に上るという．利用目的として，上位からコミュニケーション，動画視聴，音楽視聴と報告されている．,高校生のインターネット利用目的はどのようなものが挙げられますか
1-4-4,description,目が疲れたり肩こりが生じたりする身体的な症状と、情報機器に過度に依存してしまう不安症などが挙げられる,情報機器の普及は，これらを利用して仕事している人に対して，目が疲れたり肩こりが生じたりという身体的な症状や，また，過度に情報機器に依存してしまう不安症などという健康被害(テクノストレス)を生じさせることもある．,情報機器の普及による健康被害にはどのようなものがありますか
1-4-5,description,"問題解決の考え方を適応し、問題点を明確に、具体的な理想を明らかにして分析を進め、情報や情報技術を活用しながら知恵や思考力をもって影の面をなくす ",光の面は十分に享受するとともに，問題解決の考え方を利用し，問題点を明確にし，具体的な理想を明らかにして分析を進めるとともに，情報や情報技術を効果的に利用しながら，知恵や思考力をもって生徒自身の力で影の面を無くしていく方向に促すことは重要である．,情報社会には光と影の面がありますが、どのようにして影の面をなくせば良いですか
1-4-6,tf,正しい,情報技術の発展が社会へのコミュニケーションの利便性を高め人の生活を豊かにさせる反面、情報格差、健康への影響、いじめや犯罪に巻き込まれるなどの負の側面も生じている。,次の文章は正しいか答えよ。情報技術の発展が社会へのコミュニケーションの利便性を高め人の生活を豊かにさせる反面、情報格差、健康への影響、いじめや犯罪に巻き込まれるなどの負の側面も生じている。
1-4-7,tf,正しくない,情報機器の普及は、これらを利用して仕事をしている人に対して、目が疲れたり肩こりが生じたりという身体的な症状や、また、過度に情報機器に依存してしまう不安症などという健康被害（テクノストレス）を生じさせることもある。,次の文章は正しいか答えよ。情報機器の普及は、これらを利用して仕事をしている人に対して、目が疲れたり肩こりが生じたりという身体的な症状を生じさせるが、健康被害が生じることはない。
1-4-8,tf,正しい,スマートフォンなど個人が所有する情報機器の普及はコミュニケーションの利便性の向上につながっている反面、年齢や所得など、個人の技術や社会環境の差により格差（デジタルデバイド）を生じ、新しい情報を手に入れる機会や量が異なることがある。,次の文章は正しいか答えなさい。スマートフォンなど個人が所有する情報機器の普及はコミュニケーションの利便性の向上につながっている反面、年齢や所得など、個人の技術や社会環境の差によりデジタルデバイドを生じ、新しい情報を手に入れる機会や量が異なることがある。
1-5-1,word,Felica,現在の IC カードは非接触型 IC カードの技術方式を用いた Felica を利用する方式が普及している。Felica は IC 乗車券や電子マネーの他，学生証や社員証といった ID カード，マンションの電子キーの他，健康機器や家電製品にも搭載が進んでいる。携帯電話，スマートフォンの機能にあるおサイフケータイはこの FeliCa を利用している。,ICカードやおサイフケータイに利用される方式は何？
1-5-1,description,電子マネーとは電子的なやり取りにより、現金の代わりに決済ができるサービスのことを指す,電子マネーとは，電子的なデータのやりとりにより，現金の代わりに決済できるサービスをさす場合が多い．,電子マネーとは何ですか
1-5-2,description,"店舗が用意したQRコードを読み込む、もしくはスマートフォンでQRコードを表示して店員が読み取るQRコード決済が利用されて いる ",中国や韓国ではキャッシュレス化が進んでおり，そこではQRコード決済も利用されている．決済方法は，(1)店舗が用意したQRコードを客が読み取る方法(2)客のスマートフォンでQRコードを表示し，店員がそのQRコードを読み取る方法の2種類がある．,キャッシュレス化が進む中国や韓国ではどのような決済方法が利用されていますか
1-5-3,description,"完全セルフレジは複数のレジを1人のスタッフで対応できるメリットがあるが、利用者にとっては慣れないと操作が難しく、購入を 諦めてしまうデメリットがある ",完全セルフレジの場合には複数のレジを一人のスタッフで対応できるメリットがある反面，利用者にとっては慣れないと難しく購入をあきらめてしまう可能性もある．,完全セルフレジのメリットとデメリットは何ですか
1-5-4,description,多くのデータを読み込ませることで機械が自動的に学んでいくことが可能という特徴を持つ,人間の神経細胞を模した多層ニューラルネットワークというモデルを用いてコンピュータに学習させる手法を，ディープラーニング(深層学習)と呼ぶ．従来の機械学習とは異なり，AIに多くのデータを読み込ませることで機械が自動的に学んでいくことが可能であるという点に特徴がある．,近年注目されている深層学習はどのような特徴がありますか
1-5-5,description,"バリアフリーは障がい者や高齢者、妊婦にとって障壁となるものを取り除くという考えで、ユニバーサルデザインは障がい者、高齢者問わず、全ての人が生活しやすい環境を実現する考えである ",障がい者，高齢者，妊婦などにとって障壁(バリア)となっているものを取り除こうという考えからスタートしたのがバリアフリーである．一方で，ユニバーサルデザインはまた別の概念であり，障がいの有無，年齢，性別，人種等にかかわらず，すべての人にとって生活しやすい環境を実現するための工夫をさす．,バリアフリーとユニバーサルデザインはどう違いますか
1-5-6,tf,正しくない,プリペイドカードでは磁気データを書き換えることで利用確認を行っている。一方で、ICカード方式電子マネーでは内臓ICと電波でやり取りを行うことで利用確認を行っている。,次の文章は正しいか答えなさい。ICカード方式電子マネーでは磁気データを書き換えることで利用確認を行っている。
1-5-7,tf,正しくない,クレジットカードでは使用者は利用後に支払いを行う。,次の文章は正しいか答えよ。クレジットカードでは使用者は利用前に支払いを行う。
1-5-8,tf,正しい,収集した膨大なデータを利用して、データ相互の関係や有用な知見を見出すことなどをデータマイニングと呼ぶ。,次の文章は正しいか答えなさい。データマイニングとは収集した膨大なデータを利用して、データ相互の関係や有用な知見を見出すことである。
