番号,type,answer,passage,question
3-12-1,description,コンピュータが制御した情報を物理的に外部へ伝える装置のこと,アクチュエータはコンピュータが制御した情報を物理的に伝える装置であり各種のモータなどが使われている,アクチュエータとは何ですか?
3-12-2,word,センサ,センサは、自然現象の情報を人間や装置などが扱いやすい信号に置き換える装置であり、温度、照度、加速度、距離などを測定するセンサがいろいろな装置に内蔵されて使われている。,自然現象の情報を人間や装置などが扱いやすい信号に置き換える装置を何といいますか
3-12-3,description,サーボモータはロボットの腕の関節のように、角度を指定して回転させる目的で使用する。,アクチュエータの動きは直進運動と回転運動に分けることができ、これらの動力源として、電気・油圧・空気圧がある。DCモータは車輪のように連続して回転させ、サーボモータはロボットの腕の関節のように、角度を指定して回転させる目的で使用する。,サーボモータを使用する目的は何か
3-12-4,description,入力ポートに接続されたセンサの値を取得するには、ポートから入力した生のデータをセンサの特性に合わせてプログラム上で計算式によって温度などの物理量に変換する必要がある。,一般的に、入力ポートに接続されたセンサの値を取得するには、ポートから入力した生（なま）のデータをセンサの特性に合わせてプログラム上で計算式によって温度などの物理量に変換する必要がある。同様に、出力ポートに接続されたアクチュエータを制御する場合も、計算式によってモーターの回転数などの物理量をポートに出力するデータに変換する必要がある。,入力ポートに接続されたセンサの値を取得するにはどのようなことをする必要があるでしょう？
3-12-5,tf,正しくない,Pythonでは分岐にはif/elseを使い、反復にはwhile、forを使用する。,次の文章は正しいですか？Pythonでは分岐にはwhile、forを使用する。
3-12-6,word,ドローン,ドローンにおけるアクチュエータの役割は直流によって回転運動し，制御性に優れる。プロペラの回転数を変えることで姿勢を制御する。,以下の使われ方をしているアクチュエータは何でしょう。プロペラの回転数を変えることで姿勢を制御する。
3-12-7,tf,正しくない,建設機械には油圧シリンダというアクチュエータが使われている。油圧シリンダは油圧によりシリンダ内のピストンを動かすようになっている。大出力が可能なため、クレーンやパワーショベルなどに使われる。,次の文章は正しいか答えなさい。油圧シリンダの出力は小さいため、クレーンやパワーショベルなどの建設機械には使われていない。
3-12-8,tf,正しいです,ドアには空気圧シリンダが使われている。空気圧シリンダは構造がシンプルで安価である。空気を圧縮膨張させることでシリンダ内のピストンを動かし、ドアの開閉などを行う。,次の文章は正しいか答えなさい。空気圧シリンダは空気を圧縮膨張させることでシリンダ内のピストンを動かし、ドアの開閉などを行う。
3-12-9,tf,正しくない,リモコンの赤外線センサは、赤外線による信号を検知する役割を果たしている。また、エアコンの温度センサ・湿度センサは、室内の気温・湿度を検知する役割を果たしている。煙感知器の煙センサは煙を検知する役割を果たしている。,次の文章は正しいか答えなさい。エアコンの温度センサは煙を検知する役割を果たしている。
3-12-10,word,煙感知器,リモコンの赤外線センサは、赤外線による信号を検知する役割を果たしている。また、エアコンの温度センサ・湿度センサは、室内の気温・湿度を検知する役割を果たしている。煙感知器の煙センサは煙を検知する役割を果たしている。,煙センサが使用されているものを1つ挙げなさい。
3-13-1,description,アルゴリズムは問題を解決するための方法や手順であり、プログラムはアルゴリズムをコンピュータが実行できる形式であらわしたものである。,問題を解決するための方法や手順をアルゴリズムといい，アルゴリズムをコンピュータが実行できる形式であらわしたものをプログラムという。アルゴリズムは流れ図（フローチャート）などを用いて図式化するとわかりやすい。アルゴリズムはプログラミング言語を用いてプログラムにすることで，コンピュータに実行させることができる。,アルゴリズムとプログラムの違いを答えよ。
3-13-2,description,処理の流れを視覚的に表現することが可能となる。,流れ図を使って表現すると，処理の流れを視覚的に表現することが可能となる。制御構造を流れ図で表現するにあたり，各構造は図表１のようになり，３つの構造を組み合わせて流れ図を書くと，図表２のように表現することができる。,流れ図を使って表現すると何ができますか?
3-13-3,description,分岐とは、ある条件に応じて異なる処理を実行することである。,どのようなアルゴリズムでも、処理の流れは、順次、分岐、反復の3つの構造の組み合わせで構成されている。このような処理の流れを制御構造という。順次とは1つ1つの処理を順番に行うことであり、分岐はある条件に応じて異なる処理を実行することである。また、反復はある条件が満たされている間はその処理を繰り返し実行することである。,分岐とは何か
3-13-4,word,アクティビティ図、シーケンス図,アルゴリズムを表現する方法は多様である。ここでは、フローチャートを紹介したが、目的や内容に応じて適切なものを使い分けるようにしたい。UML(Unified Modeling Language)に含まれるアクティビティ図やシーケンス図のように、複数の処理が互いに通信しながら動作を進める様子を表現できる表記法も利用されている。,複数の処理が互いに通信しながら動作を進める様子を表現できる表記法を2つ答えなさい。
3-13-5,description,「おはよう」が画面に表示される。,"print(""文字列"")は文字列を表示する関数である。print(""おはよう"")を実行すると「おはよう」と画面に表示し、print(""こんにちは"")を実行すると「こんにちは」と画面に表示する。","print(""おはよう"")を実行すると何が起こるでしょう"
3-13-6,tf,正しい,どのようなアルゴリズムでも、処理の流れは、順次、分岐、反復の3つの構造の組み合わせで構成されている。このような処理の流れを制御構造という。順次とは1つ1つの処理を順番に行うことであり、分岐はある条件に応じて異なる処理を実行することである。また、反復はある条件が満たされている間はその処理を繰り返し実行することである。,次の文章は正しいか答えなさい。どのようなアルゴリズムでも、処理の流れは、順次、分岐、反復の3つの構造の組み合わせで構成されている。
3-13-7,tf,正しくない,どのようなアルゴリズムでも、処理の流れは、順次、分岐、反復の3つの構造の組み合わせで構成されている。このような処理の流れを制御構造という。順次とは1つ1つの処理を順番に行うことであり、分岐はある条件に応じて異なる処理を実行することである。また、反復はある条件が満たされている間はその処理を繰り返し実行することである。,次の文章は正しいですか。順次とはある条件が満たされている間はその処理を繰り返し実行することである。
3-13-8,tf,正しくない,アルゴリズムを表現する方法は多様である。ここでは、フローチャートを紹介したが、目的や内容に応じて適切なものを使い分けるようにしたい。UML(Unified Modeling Language)に含まれるアクティビティ図やシーケンス図のように、複数の処理が互いに通信しながら動作を進める様子を表現できる表記法も利用されている。,次の文章は正しいですか。フローチャートのように複数の処理が互いに通信しながら動作を進める様子を表現できる表記法も利用されている。
3-13-9,word,プログラム,問題を解決するための方法や手順をアルゴリズムといい，アルゴリズムをコンピュータが実行できる形式であらわしたものをプログラムという。アルゴリズムは流れ図（フローチャート）などを用いて図式化するとわかりやすい。アルゴリズムはプログラミング言語を用いてプログラムにすることで，コンピュータに実行させることができる。,アルゴリズムをコンピュータが実行できる形式であらわしたものを何というか
3-13-10,word,アルゴリズム,問題を解決するための方法や手順をアルゴリズムといい，アルゴリズムをコンピュータが実行できる形式であらわしたものをプログラムという。アルゴリズムは流れ図（フローチャート）などを用いて図式化するとわかりやすい。アルゴリズムはプログラミング言語を用いてプログラムにすることで，コンピュータに実行させることができる。,問題を解決するための方法や手順を何というでしょう
3-14-1,word,リスト,プログラムは，変数にデータを代入したり，参照したりすることを繰り返しながら動作しているが，複雑なプログラムになってくると，変数名の異なる変数が多くなり，取り扱いが困難になるため，リストが使われることが多い。リストは複数の値を一つの名前（変数名）と番号（添字）によって管理する仕組みである。これを使うと同じデータ型の変数を複数宣言する必要がなくなるため，簡潔にプログラムを記述することができるようになる。そのリストの中にあるひとつひとつの変数を要素といい，要素に付けられた番号を添字という。リストの値の参照やリストへの値の代入は，リスト名と添字を使って，「リスト名 [ 添字 ]」として扱うことが多い。添字を変数で指定することで，その値を変えることで要素を自由に扱うことができる。,複数の値を1つの名前と番号によって管理するものは何と呼ばれていますか?
3-14-2,description,実行するたびに処理内容が変わるような変則的なプログラムを作成することが可能となる,ある一定の範囲内において，すべての数が同じ確率で現れるような数のことを乱数という。コンピュータはその特質上計算で値を生成するので計算による擬似的な乱数しか生成できない。これを擬似乱数（以後「乱数」と表現する）という。この乱数をプログラム内で用いることにより，実行するたびに処理内容が変わるような変則的なプログラムを作成することが可能となり，プログラムを現実世界のシミュレーションなどに活用することが可能となる。,プログラムに乱数を用いることでどのような利点が発生するか。
3-14-3,description,インターネット上のサービスやビッグデータへの Web の通信を利用したアクセス機能を提供している API,一般にシステム開発では作成するプログラムは大規模なので，コードの長さも膨大となり，開発期間もその分大きくかかる。だが，多くのシステムでは「ボタンを押したらウィンドウが開く」や「ボタンを押したらファイルが保存される」処理について共通していることが多い。共通している処理について API(Application ProgramInterface) として関数に近い形で提供されている。この API を使って開発することで，開発期間の短縮につながる。インターネット上のサービスやビッグデータへの Web の通信を利用したアクセス機能を提供している API をWebAPI といい，現在のシステム開発において利用されている。,WebAPIとは何か。
3-14-4,word,乱数,ある一定の範囲内において、すべての数が同じ確率で現れるような数のことを乱数という。コンピュータはその性質上計算で値を生成するので計算による疑似的な乱数しか生成できない。これを疑似乱数（以後「乱数」と表現する）という。,ある一定の範囲内において、すべての数が同じ確率で現れるような数を何というか
3-14-5,description,関数を用いることでプログラムを機能ごとに整理、構造化することが可能となる。また、作成した関数はメインコード内で何回でも呼び出すことが可能となるため、作成した機能を再利用することが可能となる。,一般にシステム開発などで行われるプログラムは大規模なので、コードの長さも膨大となる。このような場合、文章の章、節、段落のような適切な構造を作らないと、コードの可動性は著しく低くなってしまう。そこでプログラムの機能ごとにメインコードから切り離し、関数という単位で分割することで、プログラムを機能ごとに整理、構造化することが可能となる。また、作成した関数はメインコード内で何回でも呼び出すことが可能となるため、作成した機能を再利用することが可能となる。,関数を用いることにどのようなメリットがあるか
3-14-6,word,引数,数学では関数はy=f(x)のように表現されるが、コンピュータプログラムの関数ではxを引数（引数）、yを戻り値と呼んでいる。,数学での関数はy=f(x)のように表現されるが、コンピュータプログラムではxを何というでしょう
3-14-7,word,戻り値,数学では関数はy=f(x)のように表現されるが、コンピュータプログラムの関数ではxを引数（引数）、yを戻り値と呼んでいる。,数学での関数はy=f(x)のように表現されるが、コンピュータプログラムではyを何というでしょう
3-14-8,tf,正しくない,一般にシステム開発では作成するプログラムは大規模なので，コードの長さも膨大となり，開発期間もその分大きくかかる。だが，多くのシステムでは「ボタンを押したらウィンドウが開く」や「ボタンを押したらファイルが保存される」処理について共通していることが多い。共通している処理について API(Application ProgramInterface) として関数に近い形で提供されている。この API を使って開発することで，開発期間の短縮につながる。インターネット上のサービスやビッグデータへの Web の通信を利用したアクセス機能を提供している API をWebAPI といい，現在のシステム開発において利用されている。,次の文章は正しいですか？インターネット上のサービスやビッグデータへの Web の通信を利用したアクセス機能を提供している API をインターネットAPI といい，現在のシステム開発において利用されている。
3-14-9,tf,正しくない,ある一定の範囲内において、すべての数が同じ確率で現れるような数のことを乱数という。コンピュータはその性質上計算で値を生成するので計算による疑似的な乱数しか生成できない。これを疑似乱数（以後「乱数」と表現する）という。,以下の文章は正しいですか？ある一定の範囲内においてすべての数が異なる確率で現れるような数のことを乱数という。
3-14-10,tf,正しい,プログラムは，変数にデータを代入したり，参照したりすることを繰り返しながら動作しているが，複雑なプログラムになってくると，変数名の異なる変数が多くなり，取り扱いが困難になるため，リストが使われることが多い。リストは複数の値を一つの名前（変数名）と番号（添字）によって管理する仕組みである。これを使うと同じデータ型の変数を複数宣言する必要がなくなるため，簡潔にプログラムを記述することができるようになる。そのリストの中にあるひとつひとつの変数を要素といい，要素に付けられた番号を添字という。リストの値の参照やリストへの値の代入は，リスト名と添字を使って，「リスト名 [ 添字 ]」として扱うことが多い。添字を変数で指定することで，その値を変えることで要素を自由に扱うことができる。,以下の文章は正しいですか？リストは複数の値を一つの名前と番号によって管理する仕組みである。
3-15-1,description,一般的にデータ数が多い場合,左側から探索を行う線形探索においては探索値が左端にあるか，右端にあるかによって探索回数が大きく変わり，1 回の探索で見つかる場合もあれば，全てのデータを探索する場合も出てくるので，一般的にデータ数が多い場合は線形探索では時間がかかることが多い。二分探索の場合は１回の探索で見つからなかった場合でも探索範囲をデータ数の半分に絞ることができるので，線形探索と比較すると，データ数が大きくなっても探索にかかる時間はそれほど増加しない場合が多い。最大探索回数だけを比較すると，回数の少ない二分探索がよいアルゴリズムと考えがちだが，二分探索には事前にデータを並べ替えておく必要があり，一概によいアルゴリズムとは言い切れない。例えば「事前にデータが並び替えられている保証がない場合」や「データの数がそれほど多くなく，シンプルなアルゴリズムの方が望ましい場合」などは線形探索の方が有用な場合もある。,線形探索ではなく二分探索を使うのはどのような場面か。
3-15-2,word,線形探索,線形探索はリストを先頭から順に比較しながら探索値に一致するデータを探し出す探索方法である。探索値とリスト内のデータを先頭から順番に比較していき、一致したデータがあれば、その場所（リストの添え字）を表示する。,リストを先頭から順に比較しながら探索値に一致するデータを探し出す探索方法は何か
3-15-3,word,二分探索,二分探索はリストの中から探索範囲を半分ずつ狭めながら目的のデータを探し出す探索方法である。,リストの中から探索範囲を半分ずつ狭めながら目的のデータを探し出す探索方法は何でしょう。
3-15-4,description,選択ソートはリスト内のデータから最小値を探索し、最小値から順に取り出すことで並べ替えを実現するアルゴリズムである。,選択ソートはリスト内のデータから最小値を探索し、最小値から順に取り出すことで並べ替えを実現するアルゴリズムである。,選択ソートとはどのようなアルゴリズムか
3-15-5,tf,正しくない,クイックソートはリスト内の一つのデータを軸として、大小2つに分割した後、分割したデータに対して同じ処理を再度行うことにより並べ替えを実現するアルゴリズムである。,次の文章は正しいですか？クイックソートはリスト内の一つのデータを軸として、大小2つに分割した後、分割したデータの片方のみに同じ処理を再度行うことにより並べ替えを実現するアルゴリズムである。
3-15-6,word,クイックソート,クイックソートはリスト内の一つのデータを軸として、大小2つに分割した後、分割したデータに対して同じ処理を再度行うことにより並べ替えを実現するアルゴリズムである。,リスト内の一つのデータを軸として、大小2つに分割した後、分割したデータに対して同じ処理を再度行うことにより並べ替えを実現するアルゴリズムは何か。
3-15-7,description,クイックソートはリスト内の一つのデータを軸として、大小2つに分割した後、分割したデータに対して同じ処理を再度行うことにより並べ替えを実現するアルゴリズムである。,クイックソートはリスト内の一つのデータを軸として、大小2つに分割した後、分割したデータに対して同じ処理を再度行うことにより並べ替えを実現するアルゴリズムである。,クイックソートはどのようなアルゴリズムか説明しなさい
3-15-8,word,選択ソート,選択ソートはリスト内のデータから最小値を探索し、最小値から順に取り出すことで並べ替えを実現するアルゴリズムである。,リスト内のデータから最小値を探索し、最小値から順に取り出すことで並べ替えを実現するアルゴリズムは何か
3-15-9,tf,正しくない,選択ソートはリスト内のデータから最小値を探索し、最小値から順に取り出すことで並べ替えを実現するアルゴリズムである。,次の文章は正しいですか？選択ソートはリスト内のデータから中央値を探索し、中央値から順に取り出すことで並べ替えを実現するアルゴリズムである。
3-15-10,tf,正しくない,二分探索はリストの中から探索範囲を半分ずつ狭めながら目的のデータを探し出す探索方法である。,以下の文章は正しいか答えてください。二分探索はリストの中から探索範囲を4分の１ずつ狭めながら目的のデータを探し出す探索方法である。
3-16-1,description,事物や現象の本質的な形状や規則性を抽象化してより単純化したもの,モデルとは事物や現象の本質的な形状や法則性を抽象化してより単純化したものを指す言葉であり事物や現象のモデルを作ることをモデル化と呼ぶ。妥当性の高いモデル化ができれば、これを使って実際には行うことが困難な実験を計算だけで行ったり、複雑な現象を再現したりするための手段としても活用できる。,モデルとは何ですか?
3-16-2,word,randint関数,Pythonで整数で発生させる乱数はrandint関数で提供されている。,Pythonで整数の乱数を得るための関数はどれですか?
3-16-3,description,静的モデルは、プラスチックや建築図面などのように時間的要素を含まないもののモデルである。,モデルは、表現形式や対象の宅趙によって分類することができる。静的モデルは、プラスチックや建築図面などのように時間的要素を含まないもので、動的モデルはレジの待ち行列や、気象予測、生物の成長など、時間的要素を含んだ事象のモデルである。また、確率モデルは不規則な現象を含まず、方程式などで表せるモデルであり、確率モデルはサイコロやくじ引きのような不規則な現象を含んだモデルである。,静的モデルとはどのようなモデルですか？
3-16-4,description,動的モデルはレジの待ち行列や、気象予測、生物の成長など、時間的要素を含んだ事象のモデルである。,モデルは、表現形式や対象の宅趙によって分類することができる。静的モデルは、プラスチックや建築図面などのように時間的要素を含まないもので、動的モデルはレジの待ち行列や、気象予測、生物の成長など、時間的要素を含んだ事象のモデルである。また、確率モデルは不規則な現象を含まず、方程式などで表せるモデルであり、確率モデルはサイコロやくじ引きのような不規則な現象を含んだモデルである。,動的モデルとはどのようなモデルですか？
3-16-5,word,確率モデル,モデルは、表現形式や対象の宅趙によって分類することができる。静的モデルは、プラスチックや建築図面などのように時間的要素を含まないもので、動的モデルはレジの待ち行列や、気象予測、生物の成長など、時間的要素を含んだ事象のモデルである。また、確率モデルは不規則な現象を含まず、方程式などで表せるモデルであり、確率モデルはサイコロやくじ引きのような不規則な現象を含んだモデルである。,サイコロやくじ引きのような不規則な現象を含んだモデルを何というか
3-16-6,description,モンテカルロ法は対象のモデルに乱数を大量に生成して入力し、近似解を得ようとする手法である。,確率モデルを使ったシミュレーション手法に、モンテカルロ法がある。モンテカルロ法の特徴は対象のモデルに乱数を大量に生成して入力し、近似解を得ようとする手法である。,モンテカルロ法とはどのような手法ですか
3-16-7,tf,正しくない,確率モデルを使ったシミュレーション手法に、モンテカルロ法がある。モンテカルロ法の特徴は対象のモデルに乱数を大量に生成して入力し、近似解を得ようとする手法である。,次の文章は正しいか答えてください。モンテカルロ法は対象のモデルに乱数を１つだけ生成して入力し、近似解を得ようとする手法である。
3-16-8,tf,正しい,モデルとは事物や現象の本質的な形状や法則性を抽象化してより単純化したものを指す言葉であり事物や現象のモデルを作ることをモデル化と呼ぶ。妥当性の高いモデル化ができれば、これを使って実際には行うことが困難な実験を計算だけで行ったり、複雑な現象を再現したりするための手段としても活用できる。,次の文章は正しいか答えてください。モデルとは事物や現象の本質的な形状や法則性を抽象化してより単純化したものを指す言葉である。
3-16-9,tf,正しくない,モデルとは事物や現象の本質的な形状や法則性を抽象化してより単純化したものを指す言葉であり事物や現象のモデルを作ることをモデル化と呼ぶ。妥当性の高いモデル化ができれば、これを使って実際には行うことが困難な実験を計算だけで行ったり、複雑な現象を再現したりするための手段としても活用できる。,以下の文章は正しいか答えてください。妥当性の高いモデルができたとしても、実際に行うことが困難な実験を計算だけで行うことはできない。
3-16-10,tf,正しい,確定モデルの例として、複利法による預金金額の時間的変化を考える。複利法は元金に利息を加算し、それを次の期間の元金として利息を計算していく方法である。法則が一定のものは簡単に数式に表すことができる。数式に表すこともモデル化である。,以下の文章は正しいか答えてください。数式に表すことも一種のモデル化である。
3-17-1,description,変数名やその意味をまとめた表,プログラム中に用いる変数と諸条件の対応をわかりやすくするためにも変数表を作成しておくとよい,変数表とは何ですか?
3-17-2,description,不確実な現象のシュミレーション,ブラウン運動や株価の変動など不確実な現象のシミュレーションとして用いられるモデルにランダムウォークがある,ランダムウォークとはどのような時に用いられるモデルですか?
3-17-3,description,ラジアンとは、円の半径の長さと等しい弧の長さとなる中心角を1とする単位。,コンピュータにおける算術演算において、三角関数の引数となる角度は弧度法（ラジアン）である。ラジアンとは、円（扇型）の半径の長さと等しい弧の長さとなる中心角を１とする単位で、0度=0ラジアン、90度=π/2ラジアン、180度はπラジアン、360度=2πラジアンとなる。角度からラジアンへの変換は角度にπ/180を掛ければよい。,ラジアンとは何ですか？
3-17-4,word,弧度法,コンピュータにおける算術演算において、三角関数の引数となる角度は弧度法（ラジアン）である。ラジアンとは、円（扇型）の半径の長さと等しい弧の長さとなる中心角を１とする単位で、0度=0ラジアン、90度=π/2ラジアン、180度はπラジアン、360度=2πラジアンとなる。角度からラジアンへの変換は角度にπ/180を掛ければよい。,コンピュータにおける算術演算において、三角関数の引数となる角度は何か
